"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Kai Jones","Lac","C-F","24","27","7.6","10.6","22.1","12","0.75","33","0.758","2","0","0.714","0.732","2.2","1.7","0.4","0.2","0.4","0.4","3.9","2.6","4.2","6","128.3","101.4"
"","Pete Nance","Phi","F","25","7","9.8","10.2","0","2","0.5","3","0.333","12","0.333","0.467","0.472","2.1","1.4","0.4","0.1","0","0","3.6","2.6","4","4.3","111.9","104.9"
"","Orlando Robinson","Sac","C","24.6","9","6.3","18","18.8","7","0.571","12","0.5","5","0.2","0.441","0.473","2.1","1.6","1","0.3","0.1","0.4","3.7","3.1","4.7","9.5","101.6","104.5"
"","Hunter Tyson","Den","F","24.7","35","7.6","12.6","12.8","21","0.714","23","0.478","38","0.316","0.475","0.52","2.1","1.5","0.4","0.1","0.1","0.3","3.6","2.5","4","5.7","107.7","106.3"
"","Patrick Baldwin Jr.","Was","F","22.2","22","4.6","16.5","13.1","4","0.5","12","0.5","21","0.524","0.682","0.676","2.1","1","0.1","0.1","0.1","0.2","3.1","2.2","3.2","5.2","115.4","117.9"
"","Chris Duarte","Chi","G","27.7","17","4.4","17.2","3.7","8","0.75","11","0.545","15","0.4","0.577","0.61","2.1","1.2","0.5","0","0","0.1","3.3","2.6","3.8","9.8","134.8","111.1"
"","Drew Eubanks","Lac","F-C","28","1","7","6.2","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","200","116.1"
"","TyTy Washington Jr.","Pho","G","23.2","4","6.9","11.2","14.3","0","0","3","0.333","3","0.667","0.667","0.667","2","0.3","1","0.5","0","0.3","2.3","3","3.3","4.9","128.3","122"
"","Jalen Hood-Schifino","Lal","G","21.6","2","7.1","9","41","2","1","1","1","0","0","1","1.064","2","0.5","0.5","0","0.5","0.5","2.5","2.5","3","4.5","151.4","100.4"
"","Christian Koloko","Lal","C","24.6","27","8.6","9.4","14.8","6","0.833","38","0.658","2","0","0.625","0.645","2","2.1","0.4","0.3","0.3","0.3","4.2","2.5","4.6","5.5","134.8","103.8"
"","Adama Sanogo","Chi","F","23","4","5.4","15.6","12.5","0","0","7","0.571","0","0","0.571","0.571","2","1.5","0.3","0","0","0.3","3.5","2.3","3.8","7.2","125.7","120.6"
"","Alex Reese","Okc","F-G","25.7","1","1.9","22.4","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","0","0"
"","MarJon Beauchamp","Mil","F","24.3","26","4.7","23.4","21.5","12","0.75","26","0.423","21","0.333","0.457","0.497","2","1.2","0.3","0.1","0","0.5","3.2","2.3","3.5","7.6","90.1","105.9"
"","Tyler Kolek","Nyk","G","23.9","28","5.2","17.4","15.9","6","1","19","0.368","28","0.393","0.5","0.534","1.9","0.5","0.8","0.3","0","0.3","2.4","2.7","3.2","7","109.2","109.2"
"","Johnny Furphy","Ind","G","20.2","32","7.3","12.6","14","9","1","23","0.435","32","0.344","0.482","0.526","1.9","1","0.3","0.3","0.2","0.3","3","2.2","3.3","4.5","105.8","109.5"
"","Jordan McLaughlin","Sac","G","28.8","28","6.8","13.9","19.9","16","0.688","18","0.333","26","0.385","0.477","0.519","1.9","0.8","0.9","0.4","0","0.4","2.6","2.8","3.5","6.5","104.9","111.4"
"","Cory Joseph","Orl","G","33.5","30","7.5","14.1","15.4","4","0.5","19","0.368","41","0.341","0.467","0.47","1.9","0.8","0.8","0.4","0.1","0.4","2.7","2.7","3.5","5.7","97.7","105.9"
"","Ariel Hukporti","Nyk","C","22.8","19","7.9","10.4","35.2","11","0.545","20","0.7","0","0","0.7","0.684","1.8","1.8","0.4","0","0.6","0.6","3.6","2.2","4.1","5.5","105","103.8"
"","Anthony Gill","Was","F","32.3","36","5.6","12.4","12.4","28","0.607","28","0.571","14","0.357","0.56","0.589","1.8","0.8","0.2","0.2","0","0.2","2.6","2","2.8","4.7","114.3","115.3"
"","Zeke Nnaji","Den","F-C","24.1","30","6.1","13.4","9.1","7","0.429","34","0.676","16","0.125","0.52","0.518","1.8","0.9","0.1","0.1","0.3","0.2","2.7","2","2.8","3.6","102.5","108.6"
"","Leonard Miller","Min","F","21.2","6","2.6","35.5","19.2","6","1","5","0.4","3","0","0.25","0.47","1.7","1.5","0","0.2","0","0.3","3.2","1.7","3.2","0","0","0"
"","Markieff Morris","Dal","F","35.4","7","5.8","25.1","8.3","0","0","9","0.333","13","0.154","0.273","0.273","1.7","1.1","0.6","0.1","0.1","0.3","2.9","2.3","3.4","7.2","64.1","111.4"
"","Alex Ducas","Okc","G","24.2","12","4.7","15","5","0","0","5","0.2","14","0.429","0.526","0.526","1.7","1","0.1","0.1","0","0.1","2.7","1.8","2.8","4.7","109.6","103.7"
"","Enrique Freeman","Ind","F","24.5","19","7.3","11.1","16.5","13","0.538","19","0.579","6","0.167","0.5","0.521","1.7","1","0.4","0.1","0.1","0.3","2.7","2.1","3.1","4.8","106.3","107.7"
"","Jaden Springer","Bos","G","22.4","26","5.4","14.6","10.4","21","0.714","15","0.4","19","0.316","0.441","0.52","1.7","0.9","0.4","0.5","0","0.2","2.7","2.1","3","6.3","113.3","97.6"
"","Tristan Thompson","Cle","C-F","33.9","25","8","13.6","18.5","22","0.227","41","0.463","3","0","0.432","0.401","1.7","3","0.7","0","0.3","0.4","4.7","2.4","5.4","7.6","95.6","99.4"
"","Bryce McGowens","Por","G","22.2","8","2.6","26","28.9","6","0.833","5","0.8","2","0","0.571","0.674","1.6","0.1","0.1","0.1","0","0.4","1.8","1.8","1.9","3.9","0","0"
"","Keshad Johnson","Mia","F","23.6","10","5.7","13.7","19.9","6","0.167","8","0.75","4","0.25","0.625","0.546","1.6","1.7","0.3","0.1","0.4","0.3","3.3","1.9","3.6","6.6","96.5","103.6"
"","Armel Traore","Lal","F","22","9","7.4","16.6","13.6","7","0.286","12","0.5","7","0","0.316","0.317","1.6","1.7","0.1","0.4","0.2","0.3","3.2","1.7","3.3","3.5","65","104.5"
"","Jordan Walsh","Bos","G","20.9","34","7.8","10.8","12.9","10","0.5","16","0.5","38","0.289","0.454","0.462","1.6","1.1","0.3","0.2","0.2","0.2","2.7","1.9","2.9","4.1","98.3","108.3"
"","Jericho Sims","Nyk","C","26.3","39","10.8","7.5","31.2","13","0.615","46","0.609","0","0","0.609","0.619","1.6","3.3","0.6","0.2","0.3","0.5","4.9","2.2","5.5","5.4","121.4","104.9"
"","Quincy Olivari","Lal","G","23.7","2","5.2","25.7","16.7","0","0","0","0","5","0.2","0.3","0.3","1.5","0","0.5","0","0","0.5","1.5","2","2","0","60.9","123.8"
"","Matt Ryan","Nyk","F","27.8","17","3.6","21.6","9.9","2","1","11","0.364","16","0.313","0.426","0.448","1.5","0.4","0.1","0.1","0","0.2","1.9","1.5","1.9","4.3","0","0"
"","David Duke Jr.","San","G","25.3","2","6","24.4","16.1","2","0.5","4","0.25","1","0","0.2","0.255","1.5","1","1","0","0","0.5","2.5","2.5","3.5","7.6","63.5","110.4"
"","Pacome Dadiet","Nyk","F","19.5","13","6.4","11.4","4.7","2","1","6","0.167","14","0.357","0.425","0.455","1.5","1","0.4","0.1","0.2","0.1","2.5","1.8","2.8","5.3","103.2","111.7"
"","Jazian Gortman","Dal","G","21.9","16","3.5","22.4","17.7","4","0.5","12","0.417","11","0.364","0.478","0.485","1.5","0.3","0.4","0.1","0.1","0.3","1.8","1.9","2.2","6.5","0","0"
"","Dwight Powell","Dal","F-C","33.6","33","7.6","6.5","27.7","30","0.667","17","0.765","1","1","0.806","0.785","1.5","1.8","0.7","0.4","0.5","0.2","3.3","2.2","4","6.5","154.7","100.4"
